sigma	1			sigma	0.08
mu	5.00E-01			mu	0.08
Amplitude	8			amplitude	2.14

Time	PRE	EXP	LOG	PRE	EXP	NOR
1E-06	3.99E+05	-2.11E+01	2.14E-03	4.99E+00	-5.00E-01	6.47E+00
0.001	3.99E+02	-6.13E+00	6.98E+00	4.99E+00	-4.88E-01	6.55E+00
0.002	1.99E+02	-5.12E+00	9.57E+00	4.99E+00	-4.75E-01	6.63E+00
0.003	1.33E+02	-4.57E+00	1.10E+01	4.99E+00	-4.63E-01	6.72E+00
0.004	9.97E+01	-4.20E+00	1.20E+01	4.99E+00	-4.51E-01	6.80E+00
0.005	7.98E+01	-3.92E+00	1.26E+01	4.99E+00	-4.39E-01	6.88E+00
0.006	6.65E+01	-3.70E+00	1.31E+01	4.99E+00	-4.28E-01	6.96E+00
0.007	5.70E+01	-3.52E+00	1.34E+01	4.99E+00	-4.16E-01	7.04E+00
0.008	4.99E+01	-3.37E+00	1.37E+01	4.99E+00	-4.05E-01	7.12E+00
0.009	4.43E+01	-3.24E+00	1.39E+01	4.99E+00	-3.94E-01	7.20E+00
0.01	3.99E+01	-3.13E+00	1.40E+01	4.99E+00	-3.83E-01	7.28E+00
0.011	3.63E+01	-3.02E+00	1.41E+01	4.99E+00	-3.72E-01	7.36E+00
0.012	3.32E+01	-2.93E+00	1.42E+01	4.99E+00	-3.61E-01	7.44E+00
0.013	3.07E+01	-2.85E+00	1.42E+01	4.99E+00	-3.51E-01	7.51E+00
0.014	2.85E+01	-2.77E+00	1.43E+01	4.99E+00	-3.40E-01	7.59E+00
0.015	2.66E+01	-2.70E+00	1.43E+01	4.99E+00	-3.30E-01	7.67E+00
0.016	2.49E+01	-2.64E+00	1.43E+01	4.99E+00	-3.20E-01	7.75E+00
0.017	2.35E+01	-2.58E+00	1.43E+01	4.99E+00	-3.10E-01	7.83E+00
0.018	2.22E+01	-2.52E+00	1.43E+01	4.99E+00	-3.00E-01	7.90E+00
0.019	2.10E+01	-2.47E+00	1.43E+01	4.99E+00	-2.91E-01	7.98E+00
0.02	1.99E+01	-2.42E+00	1.42E+01	4.99E+00	-2.81E-01	8.06E+00
0.021	1.90E+01	-2.37E+00	1.42E+01	4.99E+00	-2.72E-01	8.13E+00
0.022	1.81E+01	-2.33E+00	1.41E+01	4.99E+00	-2.63E-01	8.21E+00
0.023	1.73E+01	-2.29E+00	1.41E+01	4.99E+00	-2.54E-01	8.28E+00
0.024	1.66E+01	-2.25E+00	1.41E+01	4.99E+00	-2.45E-01	8.35E+00
0.025	1.60E+01	-2.21E+00	1.40E+01	4.99E+00	-2.36E-01	8.43E+00
0.026	1.53E+01	-2.17E+00	1.40E+01	4.99E+00	-2.28E-01	8.50E+00
0.027	1.48E+01	-2.14E+00	1.39E+01	4.99E+00	-2.19E-01	8.57E+00
0.028	1.42E+01	-2.11E+00	1.39E+01	4.99E+00	-2.11E-01	8.64E+00
0.029	1.38E+01	-2.08E+00	1.38E+01	4.99E+00	-2.03E-01	8.71E+00
0.03	1.33E+01	-2.05E+00	1.38E+01	4.99E+00	-1.95E-01	8.78E+00
0.031	1.29E+01	-2.02E+00	1.37E+01	4.99E+00	-1.88E-01	8.85E+00
0.032	1.25E+01	-1.99E+00	1.36E+01	4.99E+00	-1.80E-01	8.91E+00
0.033	1.21E+01	-1.96E+00	1.36E+01	4.99E+00	-1.73E-01	8.98E+00
0.034	1.17E+01	-1.94E+00	1.35E+01	4.99E+00	-1.65E-01	9.05E+00
0.035	1.14E+01	-1.91E+00	1.35E+01	4.99E+00	-1.58E-01	9.11E+00
0.036	1.11E+01	-1.89E+00	1.34E+01	4.99E+00	-1.51E-01	9.17E+00
0.037	1.08E+01	-1.87E+00	1.33E+01	4.99E+00	-1.44E-01	9.24E+00
0.038	1.05E+01	-1.84E+00	1.33E+01	4.99E+00	-1.38E-01	9.30E+00
0.039	1.02E+01	-1.82E+00	1.32E+01	4.99E+00	-1.31E-01	9.36E+00
0.04	9.97E+00	-1.80E+00	1.32E+01	4.99E+00	-1.25E-01	9.42E+00
0.041	9.73E+00	-1.78E+00	1.31E+01	4.99E+00	-1.19E-01	9.48E+00
0.042	9.50E+00	-1.76E+00	1.31E+01	4.99E+00	-1.13E-01	9.53E+00
0.043	9.28E+00	-1.74E+00	1.30E+01	4.99E+00	-1.07E-01	9.59E+00
0.044	9.07E+00	-1.72E+00	1.29E+01	4.99E+00	-1.01E-01	9.64E+00
0.045	8.87E+00	-1.71E+00	1.29E+01	4.99E+00	-9.57E-02	9.70E+00
0.046	8.67E+00	-1.69E+00	1.28E+01	4.99E+00	-9.03E-02	9.75E+00
0.047	8.49E+00	-1.67E+00	1.28E+01	4.99E+00	-8.51E-02	9.80E+00
0.048	8.31E+00	-1.65E+00	1.27E+01	4.99E+00	-8.00E-02	9.85E+00
0.049	8.14E+00	-1.64E+00	1.27E+01	4.99E+00	-7.51E-02	9.90E+00
0.05	7.98E+00	-1.62E+00	1.26E+01	4.99E+00	-7.03E-02	9.95E+00
0.051	7.82E+00	-1.61E+00	1.26E+01	4.99E+00	-6.57E-02	9.99E+00
0.052	7.67E+00	-1.59E+00	1.25E+01	4.99E+00	-6.13E-02	1.00E+01
0.053	7.53E+00	-1.58E+00	1.24E+01	4.99E+00	-5.70E-02	1.01E+01
0.054	7.39E+00	-1.56E+00	1.24E+01	4.99E+00	-5.28E-02	1.01E+01
0.055	7.25E+00	-1.55E+00	1.23E+01	4.99E+00	-4.88E-02	1.02E+01
0.056	7.12E+00	-1.53E+00	1.23E+01	4.99E+00	-4.50E-02	1.02E+01
0.057	7.00E+00	-1.52E+00	1.22E+01	4.99E+00	-4.13E-02	1.02E+01
0.058	6.88E+00	-1.51E+00	1.22E+01	4.99E+00	-3.78E-02	1.03E+01
0.059	6.76E+00	-1.49E+00	1.21E+01	4.99E+00	-3.45E-02	1.03E+01
0.06	6.65E+00	-1.48E+00	1.21E+01	4.99E+00	-3.13E-02	1.03E+01
0.061	6.54E+00	-1.47E+00	1.20E+01	4.99E+00	-2.82E-02	1.04E+01
0.062	6.43E+00	-1.46E+00	1.20E+01	4.99E+00	-2.53E-02	1.04E+01
0.063	6.33E+00	-1.45E+00	1.19E+01	4.99E+00	-2.26E-02	1.04E+01
0.064	6.23E+00	-1.43E+00	1.19E+01	4.99E+00	-2.00E-02	1.05E+01
0.065	6.14E+00	-1.42E+00	1.18E+01	4.99E+00	-1.76E-02	1.05E+01
0.066	6.04E+00	-1.41E+00	1.18E+01	4.99E+00	-1.53E-02	1.05E+01
0.067	5.95E+00	-1.40E+00	1.17E+01	4.99E+00	-1.32E-02	1.05E+01
0.068	5.87E+00	-1.39E+00	1.17E+01	4.99E+00	-1.13E-02	1.06E+01
0.069	5.78E+00	-1.38E+00	1.16E+01	4.99E+00	-9.45E-03	1.06E+01
0.07	5.70E+00	-1.37E+00	1.16E+01	4.99E+00	-7.81E-03	1.06E+01
0.071	5.62E+00	-1.36E+00	1.15E+01	4.99E+00	-6.33E-03	1.06E+01
0.072	5.54E+00	-1.35E+00	1.15E+01	4.99E+00	-5.00E-03	1.06E+01
0.073	5.46E+00	-1.34E+00	1.15E+01	4.99E+00	-3.83E-03	1.06E+01
0.074	5.39E+00	-1.33E+00	1.14E+01	4.99E+00	-2.81E-03	1.06E+01
0.075	5.32E+00	-1.32E+00	1.14E+01	4.99E+00	-1.95E-03	1.07E+01
0.076	5.25E+00	-1.31E+00	1.13E+01	4.99E+00	-1.25E-03	1.07E+01
0.077	5.18E+00	-1.30E+00	1.13E+01	4.99E+00	-7.03E-04	1.07E+01
0.078	5.11E+00	-1.29E+00	1.12E+01	4.99E+00	-3.13E-04	1.07E+01
0.079	5.05E+00	-1.28E+00	1.12E+01	4.99E+00	-7.81E-05	1.07E+01
0.08	4.99E+00	-1.28E+00	1.11E+01	4.99E+00	-0.00E+00	1.07E+01
0.081	4.93E+00	-1.27E+00	1.11E+01	4.99E+00	-7.81E-05	1.07E+01
0.082	4.87E+00	-1.26E+00	1.11E+01	4.99E+00	-3.13E-04	1.07E+01
0.083	4.81E+00	-1.25E+00	1.10E+01	4.99E+00	-7.03E-04	1.07E+01
0.084	4.75E+00	-1.24E+00	1.10E+01	4.99E+00	-1.25E-03	1.07E+01
0.085	4.69E+00	-1.23E+00	1.09E+01	4.99E+00	-1.95E-03	1.07E+01
0.086	4.64E+00	-1.23E+00	1.09E+01	4.99E+00	-2.81E-03	1.06E+01
0.087	4.59E+00	-1.22E+00	1.09E+01	4.99E+00	-3.83E-03	1.06E+01
0.088	4.53E+00	-1.21E+00	1.08E+01	4.99E+00	-5.00E-03	1.06E+01
0.089	4.48E+00	-1.20E+00	1.08E+01	4.99E+00	-6.33E-03	1.06E+01
0.09	4.43E+00	-1.19E+00	1.07E+01	4.99E+00	-7.81E-03	1.06E+01
0.091	4.38E+00	-1.19E+00	1.07E+01	4.99E+00	-9.45E-03	1.06E+01
0.092	4.34E+00	-1.18E+00	1.07E+01	4.99E+00	-1.13E-02	1.06E+01
0.093	4.29E+00	-1.17E+00	1.06E+01	4.99E+00	-1.32E-02	1.05E+01
0.094	4.24E+00	-1.17E+00	1.06E+01	4.99E+00	-1.53E-02	1.05E+01
0.095	4.20E+00	-1.16E+00	1.05E+01	4.99E+00	-1.76E-02	1.05E+01
0.096	4.16E+00	-1.15E+00	1.05E+01	4.99E+00	-2.00E-02	1.05E+01
0.097	4.11E+00	-1.14E+00	1.05E+01	4.99E+00	-2.26E-02	1.04E+01
0.098	4.07E+00	-1.14E+00	1.04E+01	4.99E+00	-2.53E-02	1.04E+01
0.099	4.03E+00	-1.13E+00	1.04E+01	4.99E+00	-2.82E-02	1.04E+01
0.1	3.99E+00	-1.13E+00	1.04E+01	4.99E+00	-3.13E-02	1.03E+01
0.101	3.95E+00	-1.12E+00	1.03E+01	4.99E+00	-3.45E-02	1.03E+01
0.102	3.91E+00	-1.11E+00	1.03E+01	4.99E+00	-3.78E-02	1.03E+01
0.103	3.87E+00	-1.11E+00	1.03E+01	4.99E+00	-4.13E-02	1.02E+01
0.104	3.84E+00	-1.10E+00	1.02E+01	4.99E+00	-4.50E-02	1.02E+01
0.105	3.80E+00	-1.09E+00	1.02E+01	4.99E+00	-4.88E-02	1.02E+01
0.106	3.76E+00	-1.09E+00	1.01E+01	4.99E+00	-5.28E-02	1.01E+01
0.107	3.73E+00	-1.08E+00	1.01E+01	4.99E+00	-5.70E-02	1.01E+01
0.108	3.69E+00	-1.08E+00	1.01E+01	4.99E+00	-6.13E-02	1.00E+01
0.109	3.66E+00	-1.07E+00	1.00E+01	4.99E+00	-6.57E-02	9.99E+00
0.11	3.63E+00	-1.06E+00	1.00E+01	4.99E+00	-7.03E-02	9.95E+00
0.111	3.59E+00	-1.06E+00	9.98E+00	4.99E+00	-7.51E-02	9.90E+00
0.112	3.56E+00	-1.05E+00	9.95E+00	4.99E+00	-8.00E-02	9.85E+00
0.113	3.53E+00	-1.05E+00	9.92E+00	4.99E+00	-8.51E-02	9.80E+00
