mu	2.7005	2.0012
sigma	0.1491	0.1355
A	4.3855	2.4474

	Function 1			Function 2
X	PRE	EXP	F(x)	PRE	EXP	F(x)
10	11.7341473554694	-65.0381216428911	1.01E-11	7.20569252438721	-27.2981424544873	1.01E-11
20	11.7341473554694	-44.0495936278583	1.15E-05	7.20569252438721	-13.3505272251712	1.15E-05
30	11.7341473554694	-33.6617413941213	4.07E-03	7.20569252438721	-7.47970564819686	4.07E-03
40	11.7341473554694	-27.1373479565393	9.41E-02	7.20569252438721	-4.33852334588892	9.41E-02
50	11.7341473554694	-22.5601840916884	5.99E-01	7.20569252438721	-2.4875197853801	5.99E-01
60	11.7341473554694	-19.1339680362267	1.86E+00	7.20569252438721	-1.35484932681799	1.86E+00
70	11.7341473554694	-16.4571716718251	3.71E+00	7.20569252438721	-0.663602671842445	3.71E+00
80	11.7341473554694	-14.3013846289341	5.54E+00	7.20569252438721	-0.262130816640323	5.54E+00
90	11.7341473554694	-12.5254150032751	6.79E+00	7.20569252438721	-0.060048363169235	6.79E+00
100	11.7341473554694	-11.036490573218	7.21E+00	7.20569252438721	-3.92151522991158E-05	7.21E+00
110	11.7341473554694	-9.77072928242234	6.90E+00	7.20569252438721	-0.043993190186087	6.90E+00
120	11.7341473554694	-8.6824770220458	6.11E+00	7.20569252438721	-0.165604355472834	6.11E+00
130	11.7341473554694	-7.73810538061909	5.10E+00	7.20569252438721	-0.346157146263901	5.10E+00
140	11.7341473554694	-6.91221495811373	4.07E+00	7.20569252438721	-0.572000259406945	4.07E+00
150	11.7341473554694	-6.18521159550204	3.13E+00	7.20569252438721	-0.832966666959368	3.13E+00
160	11.7341473554694	-5.54170364504271	2.35E+00	7.20569252438721	-1.12134963742544	2.35E+00
170	11.7341473554694	-4.96940994308007	1.72E+00	7.20569252438721	-1.43121874574426	1.72E+00
180	11.7341473554694	-4.45839630251857	1.24E+00	7.20569252438721	-1.75795094972752	1.24E+00
190	11.7341473554694	-4.00052956030967	8.84E-01	7.20569252438721	-2.09790175520165	8.84E-01
200	11.7341473554694	-3.58907939846139	6.23E-01	7.20569252438721	-2.44816999495821	6.23E-01
210	11.7341473554694	-3.21842280997866	4.70E-01	7.20569252438721	-2.80642658981939	4.35E-01
220	11.7341473554694	-2.88382129372604	6.56E-01	7.20569252438721	-3.17078792248181	3.02E-01
230	11.7341473554694	-2.58125050525201	8.88E-01	7.20569252438721	-3.53972087916909	2.09E-01
240	11.7341473554694	-2.30726835157876	1.17E+00	7.20569252438721	-3.91197073416139	1.44E-01
250	11.7341473554694	-2.05891167151302	1.50E+00	7.20569252438721	-4.2865057524023	9.91E-02
260	11.7341473554694	-1.83361445262214	1.88E+00	7.20569252438721	-4.6624741899206	6.80E-02
270	11.7341473554694	-1.62914247035239	2.30E+00	7.20569252438721	-5.03917059940439	4.67E-02
280	11.7341473554694	-1.44354058811622	2.77E+00	7.20569252438721	-5.41600919700516	3.20E-02
290	11.7341473554694	-1.27508991810297	3.28E+00	7.20569252438721	-5.79250264201211	2.20E-02
300	11.7341473554694	-1.12227273416978	3.82E+00	7.20569252438721	-6.16824500466873	1.51E-02
310	11.7341473554694	-0.983743532194046	4.39E+00	7.20569252438721	-6.54289800254581	1.04E-02
320	11.7341473554694	-0.858305004865167	4.97E+00	7.20569252438721	-6.91617980824427	7.15E-03
330	11.7341473554694	-0.744887974814438	5.57E+00	7.20569252438721	-7.28785589499007	4.93E-03
340	11.7341473554694	-0.642534538422327	6.17E+00	7.20569252438721	-7.65773150854446	3.40E-03
350	11.7341473554694	-0.550383831007446	6.77E+00	7.20569252438721	-8.02564544536956	2.36E-03
360	11.7341473554694	-0.467659945475854	7.35E+00	7.20569252438721	-8.39146488631953	1.63E-03
370	11.7341473554694	-0.393661630296996	7.92E+00	7.20569252438721	-8.75508108808281	1.14E-03
380	11.7341473554694	-0.327753465703071	8.45E+00	7.20569252438721	-9.11640577535828	7.92E-04
390	11.7341473554694	-0.269358274288354	8.96E+00	7.20569252438721	-9.47536810834619	5.53E-04
400	11.7341473554694	-0.217950567418614	9.44E+00	7.20569252438721	-9.83191212479785	3.87E-04
410	11.7341473554694	-0.173050864812481	9.87E+00	7.20569252438721	-10.1859945752423	2.72E-04
420	11.7341473554694	-0.134220753405475	1.03E+01	7.20569252438721	-10.537583085321	1.91E-04
430	11.7341473554694	-0.101058574729977	1.06E+01	7.20569252438721	-10.8866545913317	1.35E-04
440	11.7341473554694	-0.073195648743559	1.09E+01	7.20569252438721	-11.2331940048112	9.53E-05
450	11.7341473554694	-0.050292957239234	1.12E+01	7.20569252438721	-11.5771930698014	6.76E-05
460	11.7341473554694	-0.032038222389926	1.14E+01	7.20569252438721	-11.9186493827488	4.80E-05
470	11.7341473554694	-0.018143326172993	1.15E+01	7.20569252438721	-12.2575655501078	3.42E-05
480	11.7341473554694	-0.008342024825534	1.16E+01	7.20569252438721	-12.5939484628837	2.44E-05
490	11.7341473554694	-0.002387919441055	1.17E+01	7.20569252438721	-12.9278086707604	1.75E-05
500	11.7341473554694	-5.26496050256633E-05	1.17E+01	7.20569252438721	-13.2591598412627	1.26E-05
510	11.7341473554694	-0.001124281797556	1.17E+01	7.20569252438721	-13.5880182917071	9.05E-06
520	11.7341473554694	-0.005405868339	1.17E+01	7.20569252438721	-13.914402583611	6.53E-06
530	11.7341473554694	-0.01271415605805	1.16E+01	7.20569252438721	-14.2383331708157	4.72E-06
